symbol,current_price,price_change_24h,volume_24h_usd,volume_category,rsi,volatility,opportunity_score,volume_ratio,price_position,trades_24h,high_24h,low_24h
ENSUSDT,24.35,-4.3222003929273,570.341,nano_cap,30.463576158940327,0.9114214676935701,32.645502645502646,2.529100529100529,14.285714285714468,65,25.55,24.15
ONGUSDT,0.2108,-0.04741583688953055,554.1329,nano_cap,99.79338842975208,4.561176287647657,24.548022598870055,0.0,100.0,10,0.2109,0.1626
MASKUSDT,1.198,0.6722689075630228,537.8398,nano_cap,58.33333333333333,0.927024856499262,11.344537815126046,0.0,100.0,5,1.198,1.17
ZECUSDT,36.3,-1.0359869138495181,537.66391,nano_cap,62.730627306273014,1.582450608544571,30.0,4.290282902829029,87.91208791208759,33,36.7,34.7
SLPUSDT,0.001689,-4.737732656514382,526.443748,nano_cap,40.350877192982495,2.778154150694121,35.0,0.0,9.663865546218489,48,0.001904,0.001666
TUSDT,0.016,-3.5563592525617804,526.3056,nano_cap,,2.6175277318222787,25.0,0.0,0.0,4,0.01622,0.016
LDOUSDT,0.858,-6.126914660831517,523.93197,nano_cap,20.21276595744682,1.5234868590769306,20.0,0.0,25.333333333333336,14,0.914,0.839
TLMUSDT,0.00465,0.0,499.9959,nano_cap,,4.854768556542837,20.0,0.0,50.0,2,0.00465,0.00465
LRCUSDT,0.0802,6.366047745358094,488.9965,nano_cap,53.62318840579711,1.8742667421985277,36.366047745358095,9.88189863234111,100.0,11,0.0802,0.0765
XECUSDT,1.943e-05,-4.567779960707286,482.7903535,nano_cap,0.0,0.9390322975071589,25.0,0.0,0.0,18,2.046e-05,1.943e-05
SNXUSDT,0.547,-3.5273368606701827,481.6534,nano_cap,0.0,1.4995579524602605,25.0,0.0,0.0,3,0.552,0.547
APEUSDT,0.5413,-2.503602305475505,439.459997,nano_cap,46.56488549618316,1.0416382937601605,15.0,0.0,48.22134387351776,16,0.5552,0.5291
1INCHUSDT,0.2374,-1.083333333333325,413.79777,nano_cap,100.0,1.916199033641698,5.0,0.8812185092951873,73.5632183908046,13,0.24,0.231
ANIMEUSDT,0.01553,-4.135802469135797,398.941306,nano_cap,5.555555555555358,1.1143471985367333,25.0,0.0,0.0,8,0.01629,0.01553
PNUTUSDT,0.2193,0.0456204379561953,310.38061,nano_cap,36.66666666666663,1.5032509207330151,10.09124087591239,0.0,87.69230769230772,8,0.2201,0.2136
OGNUSDT,0.0526,5.622489959839361,308.2173,nano_cap,0.0,2.8057610903667536,35.622489959839356,0.0,96.55172413793117,2,0.0527,0.0526
JAMUSDT,9.7e-05,-3.960396039603964,289.1278,nano_cap,19.999999999999943,2.966775992495716,40.0,0.0,19.999999999999947,24,0.000104,9.6e-05
CTSIUSDT,0.0602,-2.4311183144246407,270.2781,nano_cap,29.729729729729684,1.1185365633822197,45.0,22.69314885070297,0.0,4,0.0628,0.0602
AXLUSDT,0.326,-4.956268221574344,260.5934,nano_cap,36.36363636363636,1.2130755667297104,15.0,0.0,57.14285714285714,23,0.332,0.318
STORJUSDT,0.2494,-1.8110236220472364,256.3737,nano_cap,0.0,0.9124855786939242,25.0,0.0,0.0,5,0.2553,0.2494
NMRUSDT,7.82,-5.097087378640774,219.9828,nano_cap,0.0,1.0798172972418558,25.0,0.0,0.0,4,8.06,7.82
POPCATUSDT,0.2832,-7.842499186462748,200.71431,nano_cap,0.0,1.2171844674525563,25.0,0.0,0.6249999999999328,22,0.2991,0.2831
STMXUSDT,0.000111,-4.31034482758621,190.543671,nano_cap,50.0,4.069643585966342,35.0,0.0,0.0,11,0.000119,0.000111
AXSUSDT,2.178,1.538461538461533,187.5737,nano_cap,60.0,1.8536556541302904,13.076923076923066,0.0,100.0,5,2.178,2.154
BANDUSDT,0.6,-2.4390243902439046,163.2264,nano_cap,0.0,1.3439472640343304,25.0,0.0,0.0,4,0.612,0.6
CELOUSDT,0.291,-4.4334975369458185,159.97353,nano_cap,13.215859030837024,1.2691856729317914,25.0,0.0,13.020833333333348,8,0.3077,0.2885
PORTOUSDT,0.732,2.521008403361358,146.62008,nano_cap,,5.724231992490133,20.042016806722714,0.0,100.0,8,0.732,0.714
IOTXUSDT,0.02958,-2.1178027796161514,143.6494,nano_cap,29.66101694915244,1.5941575414136613,25.0,0.0,2.4096385542167718,101,0.0312,0.02954
CELRUSDT,0.00664,-2.7818448023426035,131.948908,nano_cap,40.74074074074073,2.693138682566035,35.0,0.0,5.882352941176411,16,0.00712,0.00661
YFIUSDT,4841.0,-0.9817958682757255,122.5517,nano_cap,0.0,0.9551670571177808,25.0,0.0,0.0,2,4903.0,4841.0
FORTHUSDT,2.417,-5.215686274509801,117.1488,nano_cap,0.0,0.966043801748455,25.0,0.0,0.0,2,2.5,2.417
AUDIOUSDT,0.0579,-4.612850082372322,112.0891,nano_cap,20.83333333333333,1.681049429668462,20.0,0.0,26.315789473684216,7,0.0621,0.0564
ANKRUSDT,0.01585,3.3246414602346785,105.14013,nano_cap,100.0,3.2926000322781097,21.649282920469357,0.0,100.0,3,0.01585,0.01504
ORCAUSDT,2.048,-2.7078384798099764,99.98336,nano_cap,0.0,0.7324290752920505,25.0,0.0,0.0,1,2.048,2.048
CHZUSDT,0.03624,-3.334222459322489,98.79024,nano_cap,0.0,1.426151248699977,45.0,24.0,0.0,3,0.03624,0.03624
COTIUSDT,0.04934,-5.821721702615001,96.78905,nano_cap,,1.758008177468248,10.0,0.0,0.32679738562101507,4,0.04934,0.04933
IOSTUSDT,0.00356,-1.5486725663716783,95.54328,nano_cap,0.0,0.6925162930124632,25.0,0.0,0.0,1,0.00356,0.00356
SYSUSDT,0.03889,-6.424446583253129,91.29547,nano_cap,48.94837476099427,1.2967123316296651,15.0,0.5667668527264921,32.23350253807108,25,0.04156,0.03762
SKLUSDT,0.01848,-2.7880063124671173,89.09915,nano_cap,0.0,1.1319194676930353,25.0,0.0,0.0,5,0.01889,0.01848
GLMUSDT,0.2336,-3.070539419087137,78.85793,nano_cap,0.0,2.155020457461907,40.0,0.0,8.641975308642055,2,0.2336,0.2329
TRACUSDT,0.4303,-4.462699822380111,73.8504,nano_cap,0.0,0.7530920705254949,25.0,0.0,0.0,7,0.4436,0.4303
KAITOUSDT,1.1312,2.742960944595829,71.49184,nano_cap,,1.038542177248824,5.485921889191658,0.0,100.0,1,1.1312,1.1312
EIGENUSDT,1.059,-8.152645273200354,61.43844,nano_cap,0.0,1.7561206323212502,25.0,0.0,0.0,3,1.111,1.059
